supplier code,BI number,Raw material description SAP,Supplier/Other material name,supplier name
100005204,17830,Castor oil ,CASTER OIL,AL RAMA INTERNATIONAL
100005204,17830,CASTER OIL,CASTER OIL,AL RAMA INTERNATIONAL
100005204,18503,Diethanolamin Lösung 80 %,Diethanolamine Pure Sol. 80% 1000kg 31HA,AL RAMA INTERNATIONAL
100005204,18503,Diethanolamine Pure Sol. 80% 1000kg 31HA,Diethanolamine Pure Sol. 80%,AL RAMA INTERNATIONAL
100005204,46027,ATMP CON50% ,ATMP AMINO-TRIMETHYLENE PHOSPHONIC ACID,AL RAMA INTERNATIONAL
100005204,46027,ATMP AMINO-TRIMETHYLENE PHOSPHONIC ACID,ATMP AMINO-TRIMETHYLENE PHOSPHONIC ACID,AL RAMA INTERNATIONAL
100005204,99564,2-Aminoethanol,MONOETHANOLAMINE,AL RAMA INTERNATIONAL
100005204,99564,MONOETHANOLAMINE,MONOETHANOLAMINE,AL RAMA INTERNATIONAL
100005204,157236,"Sulfuric acid, aluminum salt (3:2), tetradecahydrate (NAM;BI)",Aluminium Sulphate,AL RAMA INTERNATIONAL
100005204,157236,Aluminium Sulphate,Aluminium Sulphate,AL RAMA INTERNATIONAL
100005204,261699,Sodium nitrite ,SODIUM NITRITE IN,AL RAMA INTERNATIONAL
100005211,258453,ALKOXYLATED AMINE ,ALKOXYLATED AMINE,SEA LAND CHEMICAL CANADA LTD
100005226,767665,TMPTMA ,TMPTMA.,KOWA AMERICAN CORP
100005398,24216,ARBOCEL BC 1000,ARBOCEL BC 1000,Kefu Industrial (Shangha
100005398,24216,Cellulose ,ARBOCEL BC 1000,"Kefu Industrial (Shanghai) Co., LTD"
100005683,307537,OMGRIT HD Plus,OMGRIT HD Plus,OM ABRASIVES LLC
100005683,307537,Copper slag ,OMGRIT HD Plus,OMAN ABRASIVES LLC
100005842,90194,Aluminium sulfate solid - H318 ,AL SULPHATE M1862C,AMAR SULPHA CHEM PVT LTD
100005842,90194,AL SULPHATE M1862C,AL SULPHATE M1862C,AMAR SULPHA CHEM PVT LTD
100005843,418006,hexafluorosilicic acid  33-35% ,HEXAFLUOROSILICIC ACID  34% 1250KG 31HA1,JAY INTERMEDIATES AND CHEMICALS
100005897,36968,ALPHA SALT,Cloruro de Sodio,INDUSTRIA SALINERA DEL P
100005897,36968,"Sodium chloride, USP ",ALPHA SALT,INDUSTRIA SALINERA DEL PACIFICO
100005952,24096,Calcium dihydroxide ,WHITELINE [SLAKED LIME #1] 20kg 5M1,OKUTAMA KOGYO CO LTD
100005952,24096,WHITELINE [SLAKED LIME #1] 20kg 5M1,1???? 20KG 5M1,OKUTAMA KOGYO CO LTD
100005952,24096,Calcium dihydroxide ,SLAKED LIME SA074 20kg 5M1,OKUTAMA KOGYO CO LTD
100005952,24096,SLAKED LIME SA074 20kg 5M1,???SA074 20KG 5M1,OKUTAMA KOGYO CO LTD
100005992,241499,Sodium Aluminate Solution 45% ,SODIUM ALUMINATE SOL.45% 1500KG 31HA1,MUDRA ENTERPRISES
100005992,241499,SODIUM ALUMINATE SOL.45% 1500KG 31HA1,SODIUM ALUMINATE SOL.45% 1500KG 31HA1,MUDRA ENTERPRISES
100006075,24097,SUGAR 25KG 5H4,SUGAR 25KG 5H4,PFEIFER AND LANGEN MARKE
100006075,24097,Sucrose ,SUGAR 25KG 5H4,PFEIFER AND LANGEN MARKETING SP Z O
100006075,339610,Molasses ,BEET MOLASSES,PFEIFER AND LANGEN MARKETING SP Z O
100006076,9.6E+11,DRY D1 NG - 20 KG - 5M2,DRY D1 NG - 20 KG - 5M2,CHIMICA EDILE S R L
100006076,9.6E+11,DRY D1 NG 500KG 13H1,DRY D1 NG 500KG 13H1,CHIMICA EDILE S R L
100006199,274623,"Oxirane, mono[(C12-14-alkyloxy)methyl] derivs. (NAM;BI)",EPOXY DILUENT XR 80,AKSH CHEMICALS LLP
100006199,274623,EPOXY DILUENT XR 80,EPOXY DILUENT XR 80,AKSH CHEMICALS LLP
100006280,778006,Hexafluorosilicic acid 33-35% ,HEXAFLUOROSILICIC ACID33-35% 1000KG RIBC,OOO TD GaloPolimer
100006280,9.6E+11,HEXAFLUOROSILICIC ACID 33-35% 250KG Drum,HEXAFLUOROSILICIC ACID 33-35% 250KG Drum,OOO TD GaloPolimer
100006357,185255,2-methoxy-1-methylethyl acetate ,PROPYLENE GYLCOL MONOMETHYL ETHER ACE,Skyhawk Chemicals Inc
100006492,87845,Molasses ,MOLASSES,SARL TECHNOSAND
100006492,87845,MOLASSES,MOLASSES,SARL TECHNOSAND
100006492,494527,DISPONIL FES 27 ,Disponil FES 27 220KG 1H2,SARL TECHNOSAND
100006492,710503,Sodium Silicate Solution (Neutral) (NAM;BI),SODIUM SILICATE SOLUTION (NEUTRAL),SARL TECHNOSAND
100006587,468964,Capstone ST-100HS ,CAPSTONE ST-100HS 200KG 1H1,Safic Alcan Necarbo BV
100006707,57189,CALCIUM CHLORIDE SOLUTION ,CALCIUM CHLORIDE 38% SOLUTION,GEO MUZQUIZ
100006707,57189,CALCIUM CHLORIDE 38% SOLUTION,Cloruro de Calcio Solucion 38%,GEO MUZQUIZ
100006750,17835,Sodium carbonate ,SODA ASH,KONARK CHEMICALS
100006750,17835,SODA ASH,SODA ASH,KONARK CHEMICALS
100006750,24097,Sucrose ,CANE SUGAR,KONARK CHEMICALS
100006750,24097,CANE SUGAR,CANE SUGAR,KONARK CHEMICALS
100006750,76961,L-Lactic acid >=88% ,LACTIC ACID 88% TECH GRADE 225KG 1H1,KONARK CHEMICALS
100006750,76961,LACTIC ACID 88% TECH GRADE 225KG 1H1,LACTIC ACID 88% TECH GRADE 225KG 1H1,KONARK CHEMICALS
100006750,78309,Sodium nitrate ,SODIUM NITRATE (NaNO3),KONARK CHEMICALS
100006750,78309,SODIUM NITRATE (NaNO3),SODIUM NITRATE (NaNO3),KONARK CHEMICALS
100006750,99564,2-Aminoethanol,MONOETHANOLAMINE,KONARK CHEMICALS
100006750,140468,Diethanolamine ,DIETHANOLAMINE IN,KONARK CHEMICALS
100006750,140468,DIETHANOLAMINE IN,DIETHANOLAMINE IN,KONARK CHEMICALS
100006750,272475,ULTRAWET û SLES LIQUID ,LES,KONARK CHEMICALS
100006750,272475,LES,LES,KONARK CHEMICALS
100006750,897944,TRIETHYLENETETRAMINE ,TETA.,KONARK CHEMICALS
100006777,24097,Sucrose ,SUGAR 25KG 5H4,EURASIA DS TOO
100006777,24097,SUGAR 25KG 5H4,SUGAR 25KG 5H4,EURASIA DS TOO
100006839,98848,PLURONIC L31 ,Pluronic L 31 204KG 1A1 BM,NICKEY WAREHOUSES INC
100006951,272617,ALFODET LSS 40 (AOS) LIQUID,ALFODET LSS 40 (AOS) LIQUID,AARTI SURFACTANTS LIMITE
100006951,272617,ALPHA OLEFIN SULPHOANTE (AOS) (NAM;BI),ALFODET LSS 40 (AOS) LIQUID,AARTI SURFACTANTS LIMITED
100007112,87096,2-5FTG SOLID A 25KG 5H4,2-5FTG SOLID A 25KG 5H4,Changzhou Fenjin Materia
100007112,87096,Maleic anhydride solid ,2-5FTG SOLID A 25KG 5H4,Changzhou Fenjin Materials Co Ltd
100007182,132872,SODIUM LIGNOSULPHONATES,SODIUM LIGNOSULPHONATES,Al Arabia For Import & C
100007182,132872,"Lignosulfonic acid, sodium salt ",SODIUM LIGNOSULPHONATES,Al Arabia For Import & Contracting
100007182,132872,DOMSJÖ LIGNIN DS10,DOMSJÖ LIGNIN DS10,Al Arabia For Import & C
100007182,132872,"Lignosulfonic acid, sodium salt ",DOMSJÖ LIGNIN DS10,Al Arabia For Import & Contracting
100007182,250285,WHITE CEMENT ,WHITE CEMENT,Al Arabia For Import & Contracting
100007182,269106,SODIUM GLUCONATE,SODIUM GLUCONATE,Al Arabia For Import & C
100007182,269106,Sodium gluconate ,SODIUM GLUCONATE,Al Arabia For Import & Contracting
100007377,677887,Aluminium sulphate Liquid ,Alunimium Sulphate Solution,UP ALUMS PRIVATE LIMITED
100007665,876691,CRUDE GLYCEROL ,GLYCERINE GLC80,BESER KIMYA SAN. VE TIC. LTD. STI.
100007812,26435,CAUSTIC SODA SOL. 50% 1500KG 31HA1,CAUSTIC SODA SOL. 50% 1500KG 31HA1,AKCAY KIMYA SANAYI MEDIK
100007812,26435,Sodium hydroxide solution 45% - 60% ,CAUSTIC SODA SOL. 50% 1500KG 31HA1,AKCAY KIMYA SANAYI MEDIKAL LABORATU
100008034,638279,Barquat CT 35 ,BARQUAT CT 35,LONZA SERVICES AG
100008034,729361,"N-(3-Aminopropyl)-N-dodecylpropan-1,3-diamin (NAM;BI)",LONZABAC 12.100 800KG 31HA1,LONZA SERVICES AG
100008426,17340,BAYFERROX 645T 25KG 5M1,BAYFERROX 645T 25KG 5M1,Asil Kimya ve Boya San T
100008426,17340,BAYFERROX 645 T ,BAYFERROX 645T 25KG 5M1,Asil Kimya ve Boya San Tic A.S
100008426,17372,bayferrox red 130 25kg 5M1,bayferrox red 130 25kg 5M1,Asil Kimya ve Boya San T
100008426,17372,BAYFERROX 130 M ,bayferrox red 130 25kg 5M1,Asil Kimya ve Boya San Tic A.S
100008426,17372,BAYFERROX 130 M RED 25KG 5M1,BAYFERROX 130 25KG 5M1,Asil Kimya ve Boya San T
100008426,247333,Bayferrox 920 LO,Bayferrox 920,Asil Kimya ve Boya San T
100008426,247333,Iron hydroxide oxide yellow ,Bayferrox 920 LO,Asil Kimya ve Boya San Tic A.S
100008443,9.6E+11,Cement Type I/II Nevada,Cement Type I/II Nevada,NEVADA CEMENT COMPANY LLC
100008554,312802,Zincwhite sealing resin stand. ,RX06033K ZINKWEISS HARZSIEGEL STAND.,IMR METAL POWDER TECHNOLOGIES GMBH
100008699,189628,Acronal S 400 F ap ,Acronal S 400 F ap 1000KG 31HA1,REVERTEX MALAYSIA SDN BHD
100008699,189628,Acronal S 400 F ap 1000KG 31HA1,R472m,REVERTEX MY SDN BH
100009095,840446,OPTICRYL SA 5730 ,OPTICRYL SA 5730,OPTICHEM POLYMERS (THAILAND)
100009096,202286,diesel fuel ,DIESEL GAS OIL,First Mazaya Holding Co.
100009096,202286,DIESEL GAS OIL,DIESEL GAS OIL,First Mazaya Holding Co.
100009160,191495,LUPRANATE M20S Ex Shanghai,???? M20S Ex South Korea 250kg 1A1,Chingtai Resin Chemical
100009160,191495,Lupranate M20S Ex Asia ,LUPRANATE M20S Ex Shanghai,Chingtai Resin Chemical Co. LTD
100009276,9.6E+11,VELVEX MOULDVEL 160,VELVEX MOULDVEL 160,NANDAN PETROCHEM LTD
100009276,9.6E+11,VELVEX MOULDVEL 160,VELVEX MOULDVEL 160,NANDAN PETROCHEM LTD
100009709,339668,Ordinary Portland Cement ,GREY CEMENT(KOKSHE),Nursat Temir TOO
100009709,339668,GREY CEMENT(KOKSHE),GREY CEMENT,Nursat Temir TOO
100009837,347941,AGGREGATE 6-10 ,AGGREGATE 6-10,Modern Trading
100009837,347941,AGGREGATE 6-10,AGGREGATE 6-10,Modern Trading
100010548,19054,Triethanolamine T 85 bulk,Trietanolamina T 85 bulk/TEA 85% H.C.,GLOKEM PRO DISTRIBUTION
100010548,19054,Triethanolamine T 85 ,Triethanolamine T 85 bulk,GLOKEM PRO DISTRIBUTION S L U
100010548,43461,MDEOA Bulk,Metildietanolamina bulk,GLOKEM PRO DISTRIBUTION
100010548,43461,N-Methyldiethanolamine ,MDEOA Bulk,GLOKEM PRO DISTRIBUTION S L U
100010548,43461,MDEOA 1050KG 31HA 10,Metildietanolamina 1050KG 31HA 10,GLOKEM PRO DISTRIBUTION
100010548,43461,MDEOA 1050KG 31HA 10,Metildietanolamina 1050KG 31HA 10,GLOKEM PRO DISTRIBUTION
100010548,43461,N-Methyldiethanolamine ,MDEOA 1050KG 31HA 10,GLOKEM PRO DISTRIBUTION S L U
100010548,54737,Triisopropanolamine techn. 85% 1000kg,Triisopropanolamine techn. 85% 1000kg,GLOKEM PRO DISTRIBUTION
100010548,54737,Triisopropanolamine sol. 85% ,Triisopropanolamine techn. 85% 1000kg,GLOKEM PRO DISTRIBUTION S L U
100010548,258650,DEFOAMER A 1000KG 31HA1,DEFOAMER A 1000KG 31HA1,GLOKEM PRO DISTRIBUTION
100010548,258650,Tri-isobutyl phosphate ,DEFOAMER A 1000KG 31HA1,GLOKEM PRO DISTRIBUTION S L U
100010548,258650,TIBP / DEGRESSAL SD 40 1000KG 31HA1,TIBP / DEGRESSAL SD 40 1000KG 31HA1,GLOKEM PRO DISTRIBUTION
100010548,258650,Tri-isobutyl phosphate ,TIBP / DEGRESSAL SD 40 1000KG 31HA1,GLOKEM PRO DISTRIBUTION S L U
100010548,604338,aq. diethanol isopropanolamine 85% ,DEIPA >= 85% 1000KG 31HA1,GLOKEM PRO DISTRIBUTION S L U
100010548,1004250,Etanodiol recuperado ,Etanodiol recuperado / Heavy glycols,GLOKEM PRO DISTRIBUTION S L U
100010817,189628,Acronal S 400 F ap ,Acronal S 400 F ap 1000KG 31HA1,WWRC SPECIALTIES SDN BHD
100010817,189628,Acronal S 400 F ap 1000KG 31HA1,R472m,WWRC SPECIALTIES SDN BHD
100011111,491837,PARA-NONYLPHENOL ,"NONYLPHENOL, P- TECHN 190KG 1A1",Sigma Paints Saudi Arabia Ltd
100011328,778006,Hexafluorosilicic acid 33-35% ,HEXAFLUOROSILICIC ACID33-35% 1000KG RIBC,OOO TD HaloPolymer
100011438,341074,RAW SAND 0.0 - 5 ,RAW SAND 0.0 - 5,T-GLOBAL IP
100011450,307604,Sigma Hi-Mark Traffic Paint wht 18L 1A2,Sigma Hi-Mark Traffic Paint wht 18L 1A2,EUROPEAN UNITED TR.CO.LL
100011450,307604,Sigma Hi-Mark Traffic Paint White ,Sigma Hi-Mark Traffic Paint wht 18L 1A2,EUROPEAN UNITED TR.CO.LLC
100011572,17338,Limestone ,MICRON  CARB 4010,20 MICRONS LIMITED
100011572,17338,MICRON  CARB 4010,MICRON  CARB 4010,20 MICRONS LIMITED
100011572,80769,Talc ,MICRON TALC,20 MICRONS LIMITED
100011572,80769,MICRON TALC,MICRON TALC,20 MICRONS LIMITED
100011572,128087,Barium sulfate ,BARIUM SULPHATE M1317,20 MICRONS LIMITED
100011572,128087,BARIUM SULPHATE M1317,BARIUM SULPHATE M1317,20 MICRONS LIMITED
100011572,259032,Quartz (SiO2) (NAM;BI),MICRON  SILICA  FLOUR 300 MESH,20 MICRONS LIMITED
100011572,259032,MICRON  SILICA  FLOUR 300 MESH,MICRON  SILICA  FLOUR 300 MESH,20 MICRONS LIMITED
100011624,269250,Diiron trioxide ,PGMT RED OXIDE,VENATOR AMERICAS LLC
100011902,604338,aq. diethanol isopropanolamine 85% ,DEIPA >= 85%,GREENFIELD CHEMICALS THAILAND  COLT
100011902,604338,aq. diethanol isopropanolamine 85% ,DEIPA >= 85% 220KG DRUM,GREENFIELD CHEMICALS THAILAND  COLT
100012116,237943,MERGAL V698 K4 1000kg 31H1,MERGAL V698 K4 1000kg 31H1,TROY SIAM COMPANY LIMITE
100012116,237943,MERGAL V698 K4 ,MERGAL V698 K4 1000kg 31H1,TROY SIAM COMPANY LIMITED
100012117,58886,"4,4'-Isopropylidendiphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane ",BISPHENOL A HV 1000KG 31HA1,EPOXEMEX SA DE CV
100012117,274623,"Oxirane, mono[(C12-14-alkyloxy)methyl] derivs. (NAM;BI)",ALKYL GLYCIDYL ETHER,EPOXEMEX SA DE CV
100012117,274623,ALKYL GLYCIDYL ETHER,ALKYL GLYCIDYL ETHER,EPOXEMEX SA DE CV
100012209,9.6E+11,PUR-O-STOP Resin,PUR-O-STOP Resin,Integrated Consultants
100012227,17372,BAYFERROX 130 M ,bayferrox red 130 25kg 5M1,SAFIC ALCAN KIMYA SAN VE TIC A.S.
100012227,17372,bayferrox red 130 25kg 5M1,bayferrox red 130 25kg 5M1,SAFIC ALCAN KIMYA SAN VE
100012227,35365,IRON OXIDE BROWN 2696 ,BAYFERROX 610 25KG 5M1C BTC,SAFIC ALCAN KIMYA SAN VE TIC A.S.
100012227,35365,BAYFERROX 610 25KG 5M1C BTC,BAYFERROX 610 25KG 5M1C BTC,SAFIC ALCAN KIMYA SAN VE
100012227,179134,3-Glycidoxypropyltrimethoxy silane ,Dynasylan GLYMO (KMB 403) 25KG 3H1,SAFIC ALCAN KIMYA SAN VE TIC A.S.
